RprtDt,StateCd,Number of plan reassessments,Questionnaire,Indicator number,Indicator description,percentage Baseline,percentage Reassessment 1,percentage Reassessment 2,percentage Reassessment 3,percentage Reassessment 4,percentage Reassessment 5,percentage Reassessment 6,percentage Reassessment 7,percentage Reassessment 8
31/12/2024,QLD,7,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.71,0.67,na,na,na,na,na,na
31/12/2024,QLD,7,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.53,0.56,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",na,na,na,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,na,na,na,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,3,% of children who can make friends with people outside the family,na,na,na,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",na,na,na,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",na,na,na,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.93,0.83,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.94,0.92,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.80,0.72,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.77,0.76,na,na,na,na,na,na
31/12/2024,SA,7,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.61,0.42,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,3,% of children who can make friends with people outside the family,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,na,na,na,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",na,na,na,na,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,na,na,na,na,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,3,% of children who can make friends with people outside the family,na,na,na,na,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",na,na,na,na,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",na,na,na,na,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.87,0.91,1.00,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.85,0.91,1.00,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.73,0.83,0.68,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.65,0.70,0.72,na,na,na,na,na
31/12/2024,VIC,7,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.49,0.55,0.60,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,3,% of children who can make friends with people outside the family,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant starting school to 14,2,% who say their child is becoming more independent,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.71,0.77,0.70,na,na,na,na,0.68,na
31/12/2024,ACT,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant starting school to 14,8,% of children attending school in a mainstream class,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.74,0.70,0.65,na,na,na,0.72,na
31/12/2024,ACT,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.43,0.45,0.42,na,na,na,0.56,na
31/12/2024,ACT,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.57,0.50,0.42,na,na,na,0.68,na
31/12/2024,ACT,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.52,0.41,0.38,na,na,na,0.62,na
31/12/2024,ALL,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.30,0.30,0.30,0.29,0.27,0.23,0.21,0.30,na
31/12/2024,ALL,7,Participant starting school to 14,2,% who say their child is becoming more independent,0.39,0.43,0.48,0.49,0.51,0.48,0.38,0.50,na
31/12/2024,ALL,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.54,0.53,0.54,0.56,0.58,0.57,0.58,0.75,na
31/12/2024,ALL,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.62,0.62,0.62,0.61,0.62,0.56,0.50,0.62,na
31/12/2024,ALL,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.32,0.33,0.34,0.31,0.29,0.30,0.24,0.30,na
31/12/2024,ALL,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.77,0.76,0.78,0.79,0.71,0.65,na,0.77,na
31/12/2024,ALL,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.08,0.06,0.05,0.04,0.05,0.06,0.02,0.17,na
31/12/2024,ALL,7,Participant starting school to 14,8,% of children attending school in a mainstream class,0.58,0.56,0.55,0.52,0.51,0.49,0.37,0.42,na
31/12/2024,ALL,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.53,0.63,0.67,0.71,0.69,0.66,0.82,na
31/12/2024,ALL,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.33,0.36,0.39,0.42,0.41,0.41,0.57,na
31/12/2024,ALL,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.42,0.48,0.50,0.53,0.51,0.52,0.70,na
31/12/2024,ALL,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.42,0.44,0.46,0.49,0.46,0.51,0.64,na
31/12/2024,NSW,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.29,0.32,0.32,0.28,0.30,0.25,0.19,0.29,na
31/12/2024,NSW,7,Participant starting school to 14,2,% who say their child is becoming more independent,0.35,0.39,0.44,0.45,0.51,0.48,0.44,0.49,na
31/12/2024,NSW,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.51,0.47,0.48,0.48,0.51,0.50,0.53,0.72,na
31/12/2024,NSW,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.62,0.59,0.57,0.57,0.57,0.52,0.45,0.59,na
31/12/2024,NSW,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.30,0.30,0.31,0.26,0.28,0.29,0.22,0.28,na
31/12/2024,NSW,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.79,0.75,0.76,0.81,0.71,0.60,na,0.75,na
31/12/2024,NSW,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.08,0.06,0.04,0.03,0.05,0.07,0.00,0.13,na
31/12/2024,NSW,7,Participant starting school to 14,8,% of children attending school in a mainstream class,0.53,0.50,0.48,0.43,0.44,0.44,0.25,0.32,na
31/12/2024,NSW,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.51,0.61,0.65,0.67,0.65,0.63,0.81,na
31/12/2024,NSW,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.33,0.35,0.38,0.41,0.39,0.36,0.56,na
31/12/2024,NSW,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.40,0.46,0.47,0.49,0.49,0.44,0.68,na
31/12/2024,NSW,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.40,0.44,0.45,0.46,0.43,0.48,0.61,na
31/12/2024,NT,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,2,% who say their child is becoming more independent,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,8,% of children attending school in a mainstream class,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,na,na,na,na,na,na,na,na
31/12/2024,NT,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,na,na,na,na,na,na,na,na
31/12/2024,QLD,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.34,0.25,0.25,0.27,0.12,0.10,na,0.31,na
31/12/2024,QLD,7,Participant starting school to 14,2,% who say their child is becoming more independent,0.43,0.46,0.49,0.50,0.44,0.33,na,0.44,na
31/12/2024,QLD,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.53,0.61,0.58,0.62,0.48,na,na,0.72,na
31/12/2024,QLD,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.61,0.70,0.71,0.74,0.68,0.64,0.62,0.66,na
31/12/2024,QLD,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.30,0.39,0.34,0.43,0.15,0.33,na,0.27,na
31/12/2024,QLD,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",na,na,na,na,na,na,na,na,na
31/12/2024,QLD,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.05,0.04,0.04,0.00,0.03,0.00,na,0.13,na
31/12/2024,QLD,7,Participant starting school to 14,8,% of children attending school in a mainstream class,0.60,0.55,0.58,0.58,0.47,na,na,0.42,na
31/12/2024,QLD,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.56,0.67,0.70,0.80,0.73,0.67,0.80,na
31/12/2024,QLD,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.32,0.35,0.37,0.44,0.47,0.46,0.64,na
31/12/2024,QLD,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.43,0.50,0.51,0.64,0.50,0.60,0.69,na
31/12/2024,QLD,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.42,0.41,0.48,0.50,0.44,0.53,0.63,na
31/12/2024,SA,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.05,na,na,na,na,na,na,0.18,na
31/12/2024,SA,7,Participant starting school to 14,2,% who say their child is becoming more independent,0.27,na,na,na,na,na,na,0.50,na
31/12/2024,SA,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.68,na,na,na,na,na,na,0.86,na
31/12/2024,SA,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.58,0.62,0.66,0.69,0.72,0.62,0.67,0.70,na
31/12/2024,SA,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.43,na,na,na,na,na,na,0.39,na
31/12/2024,SA,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",na,na,na,na,na,na,na,na,na
31/12/2024,SA,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.05,na,na,na,na,na,na,0.36,na
31/12/2024,SA,7,Participant starting school to 14,8,% of children attending school in a mainstream class,na,na,na,na,na,na,na,na,na
31/12/2024,SA,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.67,0.66,0.72,0.76,0.76,0.61,0.84,na
31/12/2024,SA,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.49,0.46,0.51,0.55,0.51,0.50,0.63,na
31/12/2024,SA,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.55,0.54,0.59,0.61,0.59,0.64,0.72,na
31/12/2024,SA,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.45,0.41,0.48,0.48,0.45,0.44,0.66,na
31/12/2024,TAS,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant starting school to 14,2,% who say their child is becoming more independent,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.59,0.58,na,na,na,na,na,0.74,na
31/12/2024,TAS,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant starting school to 14,8,% of children attending school in a mainstream class,na,na,na,na,na,na,na,na,na
31/12/2024,TAS,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.48,0.57,0.56,0.57,na,na,0.93,na
31/12/2024,TAS,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.22,0.21,0.26,0.17,na,na,na,na
31/12/2024,TAS,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.32,0.36,0.47,0.53,na,na,0.62,na
31/12/2024,TAS,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.42,0.41,0.47,0.47,na,na,0.78,na
31/12/2024,VIC,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.39,0.33,0.31,0.34,0.30,0.30,na,0.35,na
31/12/2024,VIC,7,Participant starting school to 14,2,% who say their child is becoming more independent,0.51,0.52,0.58,0.63,0.55,0.52,na,0.54,na
31/12/2024,VIC,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.63,0.60,0.62,0.68,0.73,0.80,na,0.87,na
31/12/2024,VIC,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.64,0.66,0.64,0.64,0.65,0.61,0.47,0.63,na
31/12/2024,VIC,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.37,0.40,0.42,0.37,0.33,0.29,na,0.38,na
31/12/2024,VIC,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.78,na,na,na,na,na,na,0.78,na
31/12/2024,VIC,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.12,0.10,0.07,0.08,0.04,0.03,na,0.26,na
31/12/2024,VIC,7,Participant starting school to 14,8,% of children attending school in a mainstream class,0.68,0.69,0.68,0.65,0.67,0.54,na,0.59,na
31/12/2024,VIC,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.53,0.65,0.71,0.77,0.74,0.73,0.82,na
31/12/2024,VIC,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.31,0.35,0.38,0.42,0.40,0.47,0.54,na
31/12/2024,VIC,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.42,0.51,0.53,0.58,0.52,0.58,0.74,na
31/12/2024,VIC,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.45,0.48,0.50,0.54,0.50,0.58,0.68,na
31/12/2024,WA,7,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant starting school to 14,2,% who say their child is becoming more independent,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.49,0.42,0.48,0.50,0.50,0.46,na,0.54,na
31/12/2024,WA,7,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant starting school to 14,7,% of children who spend time with friends without an adult present,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant starting school to 14,8,% of children attending school in a mainstream class,na,na,na,na,na,na,na,na,na
31/12/2024,WA,7,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.70,0.74,0.73,0.79,0.84,na,0.83,na
31/12/2024,WA,7,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.58,0.59,0.63,0.55,0.48,na,0.53,na
31/12/2024,WA,7,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.53,0.56,0.54,0.59,0.64,na,0.64,na
31/12/2024,WA,7,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.54,0.55,0.57,0.58,0.58,na,0.65,na
31/12/2024,ACT,7,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,2,% who choose who supports them,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,3,% who choose what they do each day,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,5,% who want more choice and control in their life,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,6,% with no friends other than family or paid staff,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,8,% who are happy with their home,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,9,% who feel safe or very safe in their home,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,11,% who did not have any difficulties accessing health services,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,13,% who have a paid job,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,14,% who volunteer,na,na,na,na,na,na,na,na,na
31/12/2024,ACT,7,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.64,0.77,na,na,na,na,0.90,na
31/12/2024,ACT,7,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.55,0.73,na,na,na,na,0.75,na
31/12/2024,ACT,7,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.32,0.59,na,na,na,na,0.52,na
31/12/2024,ACT,7,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.14,0.18,na,na,na,na,0.35,na
31/12/2024,ACT,7,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.32,0.64,na,na,na,na,0.72,na
31/12/2024,ACT,7,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.36,0.45,na,na,na,na,0.65,na
31/12/2024,ACT,7,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.23,0.18,na,na,na,na,0.30,na
31/12/2024,ACT,7,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.45,0.59,na,na,na,na,0.68,na
31/12/2024,ALL,7,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.33,0.31,0.29,0.32,0.35,0.31,0.33,0.45,na
31/12/2024,ALL,7,Participant 15 to 24,2,% who choose who supports them,0.25,0.27,0.27,0.30,0.28,0.31,0.40,0.43,na
31/12/2024,ALL,7,Participant 15 to 24,3,% who choose what they do each day,0.33,0.34,0.36,0.36,0.35,0.43,0.47,0.50,na
31/12/2024,ALL,7,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.20,0.20,0.18,0.17,0.15,0.17,0.14,0.21,na
31/12/2024,ALL,7,Participant 15 to 24,5,% who want more choice and control in their life,0.77,0.86,0.92,0.92,0.94,0.95,0.98,0.89,na
31/12/2024,ALL,7,Participant 15 to 24,6,% with no friends other than family or paid staff,0.34,0.34,0.34,0.30,0.32,0.33,0.37,0.33,na
31/12/2024,ALL,7,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.34,0.40,0.44,0.51,0.48,0.46,0.46,0.52,na
31/12/2024,ALL,7,Participant 15 to 24,8,% who are happy with their home,0.86,0.87,0.84,0.84,0.79,0.82,0.71,0.78,na
31/12/2024,ALL,7,Participant 15 to 24,9,% who feel safe or very safe in their home,0.90,0.86,0.87,0.87,0.82,0.87,0.81,0.86,na
31/12/2024,ALL,7,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.72,0.69,0.73,0.68,0.67,0.64,0.68,0.69,na
31/12/2024,ALL,7,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.69,0.69,0.72,0.71,0.70,0.71,0.64,0.72,na
31/12/2024,ALL,7,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.32,0.29,0.28,0.26,0.26,0.26,0.23,0.25,na
31/12/2024,ALL,7,Participant 15 to 24,13,% who have a paid job,0.08,0.14,0.19,0.21,0.25,0.22,0.28,0.31,na
31/12/2024,ALL,7,Participant 15 to 24,14,% who volunteer,0.09,0.09,0.10,0.11,0.14,0.13,0.09,0.10,na
31/12/2024,ALL,7,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.59,0.66,0.68,0.70,0.72,0.71,0.83,na
31/12/2024,ALL,7,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.58,0.66,0.71,0.73,0.77,0.78,0.85,na
31/12/2024,ALL,7,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.50,0.56,0.57,0.57,0.60,0.58,0.70,na
31/12/2024,ALL,7,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.20,0.17,0.17,0.18,0.20,0.24,0.35,na
31/12/2024,ALL,7,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.42,0.46,0.47,0.52,0.52,0.53,0.68,na
31/12/2024,ALL,7,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.36,0.36,0.36,0.34,0.35,0.36,0.52,na
31/12/2024,ALL,7,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.18,0.16,0.14,0.13,0.16,0.13,0.30,na
31/12/2024,ALL,7,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.54,0.59,0.62,0.64,0.67,0.67,0.77,na
31/12/2024,NSW,7,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.31,0.29,0.26,0.27,0.31,0.25,0.35,0.42,na
31/12/2024,NSW,7,Participant 15 to 24,2,% who choose who supports them,0.22,0.24,0.21,0.25,0.23,0.27,0.36,0.37,na
31/12/2024,NSW,7,Participant 15 to 24,3,% who choose what they do each day,0.32,0.29,0.29,0.31,0.29,0.38,0.40,0.43,na
31/12/2024,NSW,7,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.17,0.17,0.15,0.17,0.15,0.16,0.13,0.20,na
31/12/2024,NSW,7,Participant 15 to 24,5,% who want more choice and control in their life,0.79,0.88,0.90,0.91,0.94,0.97,0.98,0.92,na
